|        a         |        b         |sel |       out        |
| 0000000000000001 | 0000000000000001 | 00 | 0000000000000010 |
| 0000000000000001 | 0000000000000001 | 01 | 0000000000000010 |
| 0000000000000001 | 0000000000000001 | 10 | 0000000000000010 |
| 0000000000000001 | 0000000000000001 | 11 | 0000000000000001 |
| 0000000000001001 | 0000000000000001 | 00 | 0000000000001010 |
| 0000000010000001 | 0000000000000001 | 01 | 0000000010000010 |
| 0000000000000001 | 0000000000100001 | 10 | 0000000000100010 |
| 0000000000000001 | 0000000000000101 | 11 | 0000000000000101 |
| 0000000010000001 | 0000100000000001 | 00 | 0000100010000010 |
| 0000000000001001 | 0100000000000001 | 01 | 0000000000001010 |
| 0000000000000011 | 0000000010000001 | 10 | 0000000010000010 |
| 0000000000000001 | 0000000010000001 | 11 | 0000000010000001 |
| 0010000000000001 | 0000000000000001 | 00 | 0010000000000010 |
| 0000000100000001 | 0000000100000001 | 01 | 0000000100000010 |
| 0100000000000001 | 0100000000000001 | 10 | 0100000000000010 |
| 0100000000000001 | 0000000000000101 | 11 | 0100000000000101 |
| 1000000000000001 | 0000000000000011 | 00 | 1000000000000100 |
| 0000000110000001 | 0000000000000001 | 01 | 0000000110000010 |
| 0000000000000001 | 0000011000000001 | 10 | 0000011000000010 |
| 0000010010000001 | 0010000000001001 | 11 | 0010010010001001 |
